SID,ISO_TIME,LAT,LON,WMO_WIND,wind_was_missing,wind_imputation,WMO_PRES,pres_was_missing,pres_imputation,Status Wind,Status Pres
1980056S15059,1980-03-10 06:00:00,-28.6,43.2,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-10 09:00:00,-28.3,43.1,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-10 12:00:00,-28.0,42.9,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-10 15:00:00,-27.7,42.8,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-10 18:00:00,-27.5,42.6,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-10 21:00:00,-27.3,42.4,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-11 00:00:00,-27.2,42.2,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-11 03:00:00,-27.4,42.0,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-11 06:00:00,-27.7,41.8,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-11 09:00:00,-28.2,41.8,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-11 12:00:00,-28.5,42.0,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-11 15:00:00,-28.7,42.5,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-11 18:00:00,-28.6,43.3,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-11 21:00:00,-28.4,44.2,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-12 00:00:00,-28.1,45.0,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-12 03:00:00,-27.9,45.6,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-12 06:00:00,-27.6,46.0,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-12 09:00:00,-27.2,46.3,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-12 12:00:00,-26.8,46.5,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-12 15:00:00,-26.4,46.5,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-12 18:00:00,-26.0,46.4,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-12 21:00:00,-25.5,46.2,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-13 00:00:00,-25.1,46.0,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-13 03:00:00,-24.8,45.9,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-13 06:00:00,-24.4,45.8,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-13 09:00:00,-23.8,45.7,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-13 12:00:00,-23.2,45.7,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-13 15:00:00,-22.6,45.7,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-13 18:00:00,-22.0,45.8,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-13 21:00:00,-21.4,45.9,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-14 00:00:00,-20.8,46.3,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-14 03:00:00,-20.3,47.0,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-14 06:00:00,-20.1,47.9,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-14 09:00:00,-20.4,48.7,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-14 12:00:00,-21.2,49.3,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-14 15:00:00,-22.4,49.6,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-14 18:00:00,-23.8,49.6,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-14 21:00:00,-25.0,49.2,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-15 00:00:00,-26.2,48.8,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-15 03:00:00,-27.5,48.5,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-15 06:00:00,-28.7,48.5,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-15 09:00:00,-29.5,48.7,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-15 12:00:00,-30.0,49.1,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-15 15:00:00,-30.5,49.5,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-15 18:00:00,-31.0,50.0,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-15 21:00:00,-31.5,50.5,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-16 00:00:00,-31.9,51.1,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
